"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
13,"2021-08",163,0.877300613496933,1,14024,14026,0.000142612664004564
13,"2021-09",161,0.850931677018633,1,14024,14026,0.000142612664004564
13,"2021-10",164,0.853658536585366,1,14024,14026,0.000142612664004564
13,"2021-11",172,0.825581395348837,1,14024,14026,0.000142612664004564
13,"2021-12",181,0.828729281767956,1,14024,14026,0.000142612664004564
13,"2022-01",180,0.822222222222222,1,14024,14026,0.000142612664004564
13,"2022-02",185,0.789189189189189,1,14024,14026,0.000142612664004564
13,"2022-03",208,0.788461538461539,1,14024,14026,0.000142612664004564
13,"2022-04",215,0.809302325581395,1,14024,14026,0.000142612664004564
13,"2022-05",218,0.844036697247706,1,14024,14026,0.000142612664004564
13,"2022-06",201,0.830845771144279,1,14024,14026,0.000142612664004564
13,"2022-07",204,0.852941176470588,1,14024,14026,0.000142612664004564
13,"2022-08",205,0.834146341463415,1,14024,14026,0.000142612664004564
13,"2022-09",191,0.837696335078534,1,14024,14026,0.000142612664004564
13,"2022-10",197,0.847715736040609,1,14024,14026,0.000142612664004564
13,"2022-11",203,0.827586206896552,1,14024,14026,0.000142612664004564
13,"2022-12",218,0.834862385321101,1,14024,14026,0.000142612664004564
13,"2023-01",192,0.854166666666667,1,14024,14026,0.000142612664004564
13,"2023-02",185,0.832432432432432,1,14024,14026,0.000142612664004564
13,"2023-03",170,0.88235294117647,1,14024,14026,0.000142612664004564
13,"2023-04",154,0.850649350649351,1,14024,14026,0.000142612664004564
13,"2023-05",152,0.868421052631579,1,14024,14026,0.000142612664004564
13,"2023-06",145,0.827586206896552,1,14024,14026,0.000142612664004564
13,"2023-07",163,0.779141104294479,1,14024,14026,0.000142612664004564
13,"2023-08",187,0.81283422459893,1,14024,14026,0.000142612664004564
13,"2023-09",205,0.775609756097561,1,14024,14026,0.000142612664004564
13,"2023-10",216,0.759259259259259,1,14024,14026,0.000142612664004564
13,"2023-11",213,0.765258215962441,1,14024,14026,0.000142612664004564
13,"2023-12",206,0.79126213592233,1,14024,14026,0.000142612664004564
13,"2024-01",202,0.742574257425743,1,14024,14026,0.000142612664004564
13,"2024-02",198,0.777777777777778,1,14024,14026,0.000142612664004564
13,"2024-03",200,0.805,1,14024,14026,0.000142612664004564
13,"2024-04",191,0.81151832460733,1,14024,14026,0.000142612664004564
13,"2024-05",194,0.804123711340206,1,14024,14026,0.000142612664004564
13,"2024-06",193,0.797927461139896,1,14024,14026,0.000142612664004564
13,"2024-07",201,0.805970149253731,1,14024,14026,0.000142612664004564
13,"2024-08",213,0.812206572769953,1,14024,14026,0.000142612664004564
13,"2024-09",228,0.793859649122807,1,14024,14026,0.000142612664004564
13,"2024-10",219,0.817351598173516,1,14024,14026,0.000142612664004564
13,"2024-11",221,0.819004524886878,1,14024,14026,0.000142612664004564
13,"2024-12",218,0.81651376146789,1,14024,14026,0.000142612664004564
13,"2025-01",434,0.80184331797235,1,14024,14026,0.000142612664004564
